WebID,Area,Data label,2021,2021%,2016,2016%,Data Type,Area_Religion
10,Australia,Christian total,11149643,43.8569,12201613,52.1395,UR,Australia_Christian_total
10,Australia,Non Christian total,2539543,9.9892,1922028,8.2131,UR,Australia_NonChristian_total
10,Australia,Non-classifiable religious belief,141571,0.5569,144780,0.6187,UR,Australia_Nonclassifiablereligious_belief
10,Australia,No Religion/secular beliefs,9840976,38.7093,7001293,29.9177,UR,Australia_NoReligionsecular_beliefs
10,Australia,Not stated,1751053,6.8877,2132160,9.1111,UR,Australia_Not_stated
10,Australia,Total Population,25422786,100,23401874,100,UR,Australia_Total_Population
20,Greater Capital Cities,Christian total,7068284,42.6673,7545814,49.713,UR,Greater Capital Cities_Christian_total
20,Greater Capital Cities,Non Christian total,2227724,13.4475,1691432,11.1434,UR,Greater Capital Cities_NonChristian_total
20,Greater Capital Cities,Non-classifiable religious belief,90192,0.5444,92919,0.6122,UR,Greater Capital Cities_Nonclassifiablereligious_belief
20,Greater Capital Cities,No Religion/secular beliefs,6175051,37.2753,4538611,29.9011,UR,Greater Capital Cities_NoReligionsecular_beliefs
20,Greater Capital Cities,Not stated,1004794,6.0654,1309988,8.6304,UR,Greater Capital Cities_Not_stated
20,Greater Capital Cities,Total Population,16566045,100,15178764,100,UR,Greater Capital Cities_Total_Population
40,New South Wales,Christian total,3844641,47.6285,4127537,55.1793,UR,New South Wales_Christian_total
40,New South Wales,Non Christian total,973513,12.0602,757902,10.1321,UR,New South Wales_NonChristian_total
40,New South Wales,Non-classifiable religious belief,39319,0.4871,39194,0.524,UR,New South Wales_Nonclassifiablereligious_belief
40,New South Wales,No Religion/secular beliefs,2666328,33.0312,1898832,25.3847,UR,New South Wales_NoReligionsecular_beliefs
40,New South Wales,Not stated,548340,6.793,656761,8.78,UR,New South Wales_Not_stated
40,New South Wales,Total Population,8072141,100,7480226,100,UR,New South Wales_Total_Population
41,Victoria,Christian total,2657951,40.8695,2839149,47.905,UR,Victoria_Christian_total
41,Victoria,Non Christian total,853762,13.1277,628988,10.6129,UR,Victoria_NonChristian_total
41,Victoria,Non-classifiable religious belief,36463,0.5607,38236,0.6452,UR,Victoria_Nonclassifiablereligious_belief
41,Victoria,No Religion/secular beliefs,2542441,39.0934,1893491,31.9489,UR,Victoria_NoReligionsecular_beliefs
41,Victoria,Not stated,412883,6.3486,526758,8.888,UR,Victoria_Not_stated
41,Victoria,Total Population,6503500,100,5926622,100,UR,Victoria_Total_Population
42,Queensland,Christian total,2357556,45.7233,2635342,56.033,UR,Queensland_Christian_total
42,Queensland,Non Christian total,259091,5.0249,201728,4.2892,UR,Queensland_NonChristian_total
42,Queensland,Non-classifiable religious belief,32004,0.6207,31837,0.6769,UR,Queensland_Nonclassifiablereligious_belief
42,Queensland,No Religion/secular beliefs,2114789,41.015,1388989,29.5328,UR,Queensland_NoReligionsecular_beliefs
42,Queensland,Not stated,392694,7.6161,445304,9.4681,UR,Queensland_Not_stated
42,Queensland,Total Population,5156134,100,4703200,100,UR,Queensland_Total_Population
43,South Australia,Christian total,712983,40.0213,823429,49.1115,UR,South Australia_Christian_total
43,South Australia,Non Christian total,139462,7.8283,100288,5.9814,UR,South Australia_NonChristian_total
43,South Australia,Non-classifiable religious belief,10228,0.5741,11138,0.6643,UR,South Australia_Nonclassifiablereligious_belief
43,South Australia,No Religion/secular beliefs,811649,45.5596,599752,35.7708,UR,South Australia_NoReligionsecular_beliefs
43,South Australia,Not stated,107189,6.0167,142044,8.4719,UR,South Australia_Not_stated
43,South Australia,Total Population,1781511,100,1676651,100,UR,South Australia_Total_Population
44,Western Australia,Christian total,1093729,41.1173,1231605,49.7738,UR,Western Australia_Christian_total
44,Western Australia,Non Christian total,212560,7.9909,170777,6.9017,UR,Western Australia_NonChristian_total
44,Western Australia,Non-classifiable religious belief,16040,0.603,16201,0.6547,UR,Western Australia_Nonclassifiablereligious_belief
44,Western Australia,No Religion/secular beliefs,1137482,42.7621,811798,32.8078,UR,Western Australia_NoReligionsecular_beliefs
44,Western Australia,Not stated,200210,7.5266,244025,9.862,UR,Western Australia_Not_stated
44,Western Australia,Total Population,2660021,100,2474406,100,UR,Western Australia_Total_Population
45,Tasmania,Christian total,213962,38.3725,253504,49.7105,UR,Tasmania_Christian_total
45,Tasmania,Non Christian total,25091,4.4999,11757,2.3055,UR,Tasmania_NonChristian_total
