WebID,Area,Data label,2021,2021%,2016,2016%,2011,2011%,2006,2006%,2001,2001%,1991,1991%,Data Type
10,Australia,Christian total,11149643,43.8569,12201613,52.1395,13150078,61.1498,12664547,63.9204,12740020,68.0399,0,,UR
10,Australia,Non Christian total,2539543,9.9892,1922028,8.2131,1547806,7.1975,1105005,5.5772,906664,4.8422,0,,UR
10,Australia,Non-classifiable religious belief,141571,0.5569,144780,0.6187,171633,0.7981,131104,0.6617,352789,1.8841,0,,UR
10,Australia,No Religion/secular beliefs,9840976,38.7093,7001293,29.9177,4796432,22.3041,3695707,18.6529,2895520,15.4639,0,,UR
10,Australia,Not stated,1751053,6.8877,2132160,9.1111,1838740,8.5504,2216636,11.1878,1829347,9.7699,0,,UR
10,Australia,Total Population,25422786,100,23401874,100,21504689,100,19812999,100,18724340,100,0,,UR
20,Greater Capital Cities,Christian total,7068284,42.6673,7545814,49.713,8092549,58.8806,7782256,61.7922,7794299,65.9857,0,,UR
20,Greater Capital Cities,Non Christian total,2227724,13.4475,1691432,11.1434,1360477,9.8987,979782,7.7796,803002,6.7981,0,,UR
20,Greater Capital Cities,Non-classifiable religious belief,90192,0.5444,92919,0.6122,109033,0.7933,85375,0.6779,231610,1.9608,0,,UR
20,Greater Capital Cities,No Religion/secular beliefs,6175051,37.2753,4538611,29.9011,3057875,22.2488,2349449,18.6549,1859710,15.7441,0,,UR
20,Greater Capital Cities,Not stated,1004794,6.0654,1309988,8.6304,1124072,8.1786,1397382,11.0954,1123477,9.5112,0,,UR
20,Greater Capital Cities,Total Population,16566045,100,15178764,100,13744006,100,12594244,100,11812098,100,0,,UR
40,New South Wales,Christian total,3844641,47.6285,4127537,55.1793,4462163,64.5044,4429322,67.7376,4514188,71.4779,0,,UR
41,Victoria,Christian total,2657951,40.8695,2839149,47.905,3078117,57.4916,2982834,60.5534,3007812,64.631,0,,UR
42,Queensland,Christian total,2357556,45.7233,2635342,56.033,2785005,64.278,2582651,66.3645,2492185,71.0076,0,,UR
43,South Australia,Christian total,712983,40.0213,823429,49.1115,914359,57.2696,904805,59.8526,940932,64.174,0,,UR
44,Western Australia,Christian total,1093729,41.1173,1231605,49.7738,1300394,58.0743,1159449,59.3745,1153590,63.3252,0,,UR
45,Tasmania,Christian total,213962,38.3725,253504,49.7105,295358,59.6256,305635,64.2741,319555,69.5745,0,,UR
46,Northern Territory,Christian total,94151,40.4738,109121,47.6857,117622,55.491,104471,54.7215,112705,60.6815,0,,UR
47,Australian Capital Territory,Christian total,173093,38.1349,180121,45.388,196810,55.1946,194758,60.2477,198188,64.1018,0,,UR
48,Regional Australia,Christian total,3893734,46.6587,4457448,57.3278,4838700,65.7866,4707649,67.8858,4667945,72.2036,0,,UR
48,Regional Australia,Non Christian total,254152,3.0455,192871,2.4805,158713,2.1579,108830,1.5694,85038,1.3154,0,,UR
48,Regional Australia,Non-classifiable religious belief,47908,0.5741,48080,0.6184,58186,0.7911,43840,0.6322,112270,1.7366,0,,UR
48,Regional Australia,No Religion/secular beliefs,3446093,41.2946,2301850,29.6044,1622460,22.0588,1281136,18.4744,956715,14.7984,0,,UR
48,Regional Australia,Not stated,703250,8.4271,775116,9.9689,677085,9.2056,793204,11.4383,643010,9.9461,0,,UR
48,Regional Australia,Total Population,8345137,100,7775365,100,7355144,100,6934659,100,6464978,100,0,,UR
50,Australia,Christian total,11149643,43.8569,12201613,52.1395,13150078,61.1498,12664547,63.9204,12740020,68.0399,0,,UR
50,Australia,Non Christian total,2539543,9.9892,1922028,8.2131,1547806,7.1975,1105005,5.5772,906664,4.8422,0,,UR
50,Australia,Non-classifiable religious belief,141571,0.5569,144780,0.6187,171633,0.7981,131104,0.6617,352789,1.8841,0,,UR
50,Australia,No Religion/secular beliefs,9840976,38.7093,7001293,29.9177,4796432,22.3041,3695707,18.6529,2895520,15.4639,0,,UR
50,Australia,Not stated,1751053,6.8877,2132160,9.1111,1838740,8.5504,2216636,11.1878,1829347,9.7699,0,,UR
50,Australia,Total Population,25422786,100,23401874,100,21504689,100,19812999,100,18724340,100,0,,UR
